Cod_setor;V011
240140405000001;576,8
240140405000002;1047,6
240140405000003;629,8
240140405000004;409,55
240140405000005;387
240140405000006;472,2
240140405000007;1116,89
240140405000008;548,24
240140405000009;476,83
240140405000010;703,86
240140405000011;699,57
240145305000001;625,36
240145305000002;423,41
240145305000003;538,16
240145305000004;697,75
240145305000005;555,72
240145305000006;551,92
240145305000007;609,46
240145305000008;578,31
240145305000009;539,77
240145305000010;437,71
240145305000011;413,48
240145305000012;497,24
240145305000013;440,37
240145305000014;350,61
240145305000015;463,54
240145305000016;579,36
240145305000017;569,5
240145305000018;344,62
240145305000019;449,76
240145305000020;442,5
240145305000021;528,41
240145305000022;471,6
240145305000023;413,96
240145305000024;346,2
240145305000025;492,82
240145305000026;390,71
240145305000027;440,48
240145305000028;707,2
240145305000029;649,41
240145305000030;536,78
240145305000031;433,91
240145305000032;413,43
240145305000033;337,46
240145305000034;476,71
240145305000035;381,63
240150305000001;616,48
240150305000002;597,97
240150305000003;434,26
240150305000004;367,85
240150305000005;395,04
240150305000006;410,84
240160205000001;620,76
240160205000002;615,84
240160205000003;335,27
240160205000004;412,4
240160205000005;410,5
240160205000006;344,89
240160205000007;433,5
240160205000008;343,98
240160205000009;399,59
240160210000001;326,4
240160210000002;413,76
240165105000001;617,52
240165105000002;480,1
240165105000003;369,8
240165105000004;499,57
240165105000005;568,3
240170105000001;556,52
240170105000002;641,58
240170105000003;597,26
240170105000004;493,37
240170105000005;592,98
240170105000006;534,15
240170105000007;441,36
240170105000008;448,81
240170105000009;461,23
240170105000010;546,85
240170105000011;882,19
240170105000012;428,75
240180005000001;810,71
240180005000002;583,96
240180005000003;620,93
240180005000004;531,23
240180005000005;367,51
240180005000006;512,06
240180005000007;485,28
240180005000008;465,05
240180005000009;473,77
240180005000010;484,02
240180005000011;589,85
240180005000012;574,04
240180005000013;438,58
240180005000014;484,63
240180005000015;527,27
240180005000016;375,09
240185905000001;335,83
240185905000002;502,44
240185905000003;621,27
240185905000004;633,61
240185905000005;551,39
240185905000006;358,02
240185905000007;302,09
240185905000008;382,75
240185905000009;288,18
240190905000001;661,48
240190905000002;493,84
240190905000003;457,21
240190905000004;456,53
240200605000001;1132,19
240200605000002;1582,05
240200605000003;976,66
240200605000004;1045,97
240200605000005;1660,09
240200605000006;1345,54
240200605000007;464,79
240200605000008;477,58
240200605000009;538,93
240200605000010;734,93
240200605000011;1583,86
240200605000012;694,74
240200605000013;592,98
240200605000014;1042,86
240200605000015;1528,2
240200605000016;2437,9
240200605000017;1777,2
240200605000018;4225
240200605000019;2815,42
240200605000020;2360,44
240200605000021;1357,69
240200605000022;922,4
240200605000023;962,88
240200605000024;1021,58
240200605000025;533,24
240200605000026;589,32
240200605000027;705,5
240200605000028;676,74
240200605000029;531,16
240200605000030;541,3
240200605000031;491,46
240200605000032;579,32
240200605000033;485,57
240200605000034;557,41
240200605000035;774,84
240200605000036;604,66
240200605000037;695,92
240200605000038;1262,75
240200605000039;896,06
240200605000040;1049,01
240200605000041;624,9
240200605000042;522,39
240200605000043;622,93
240200605000044;943,09
240200605000045;1019,13
240200605000046;553,5
240200605000047;543,68
240200605000048;359,22
240200605000049;453,04
240200605000050;468,25
240200605000051;586,87
240200605000052;643,86
240200605000053;562,58
240200605000054;531,06
240200605000055;482,2
240200605000056;428,13
240200605000057;476,74
240200605000058;484,75
240200605000059;487,75
240200605000060;492,71
240200605000061;887,56
240200605000062;464,69
240200605000063;483,16
240200605000064;530,75
240200605000065;619,77
240200605000066;706,97
240200605000067;485,93
240200605000068;1278,57
240200605000069;523
240200605000070;941,65
240200605000071;893,84
240200605000072;798,97
240200605000073;1908,54
240200605000074;476,67
240200605000075;750,9
240200605000076;923,04
240200605000077;839,14
240200605000078;562,14
240200605000079;495,27
240200605000080;609,33
240210505000001;536,16
240210505000002;513,3
240210505000003;755,59
240210505000004;555
240210505000005;585,01
240210505000006;412,56
240210505000007;454,18
240210505000008;431,2
240210505000009;512,16
240210505000010;368,19
240210505000011;352,91
240210505000012;338,95
240210505000013;583,28
240210505000014;589,55
240210505000015;422,7
240210505000016;419,94
240220405000001;578,49
240220405000002;657,96
240220405000003;579,21
240220405000004;825,12
240220405000005;704,77
240220405000006;449,98
240220405000007;612,41
240220405000008;367,24
240220405000009;453,63
240220405000010;532,69
240220405000011;1102,34
240220405000012;350,07
240220405000013;742,45
240220405000014;681,83
240220405000015;1044,34
240220405000016;1204,75
240220405000017;480,43
240220405000018;528,59
240220405000019;759,09
240220405000020;452,3
240220405000021;364,2
240220405000022;402,57
240220405000023;357,69
240220405000024;394,07
240220405000025;451,1
240220405000026;613,44
240220405000027;567,54
240220405000028;678,84
240220405000029;375,09
240220405000030;441,05
240220405000031;458,17
240220405000032;779,72
240220405000033;430,61
